signal_date,rank,instrument,score,pct_rank,side,ret_1d,ret_3d,ret_5d
2025-10-27,1,SNDK,0.4408277974025299,0.0009980039920159,long,0.1642454862594604,0.1355893611907959,0.1084715127944946
2025-10-27,2,AMD,0.420600986543946,0.0029940119760479,long,0.0244951248168945,-0.0073253512382507,-0.0308515429496765
2025-10-27,3,MU,0.4139146438882468,0.0049900199600798,long,0.0212699174880981,0.0083817243576049,-0.0174846053123474
2025-10-27,4,APP,0.3923722415234451,0.0069860279441117,long,0.0069876909255981,0.016767144203186,-0.0289397239685058
2025-10-27,5,CNC,0.3757918592930949,0.0089820359281437,long,0.125037670135498,0.0656824111938476,0.0879783630371093
2025-10-27,6,CIEN,0.3597474738602738,0.0109780439121756,long,0.0340362787246704,0.0375874042510986,-0.0009287595748901
2025-10-27,7,STX,0.3346196916513139,0.0129740518962075,long,0.1911211013793945,0.1474440097808838,0.1227803230285644
2025-10-27,8,NEM,0.3127432899005657,0.0149700598802395,long,0.0041593313217163,0.0205445289611816,-0.0055456757545471
2025-10-27,9,LITE,0.3076141124186383,0.0169660678642714,long,0.0800948143005371,0.0159785747528076,-0.0505569577217102
2025-10-27,10,ALB,0.2793745242563505,0.0189620758483033,long,0.0115846395492553,0.016032338142395,-0.0851262211799621
2025-10-27,11,PSKY,0.2723036483099457,0.0209580838323353,long,-0.0203577280044555,-0.0505859851837158,-0.0845156908035278
2025-10-27,12,SMCI,0.2709731917161868,0.0229540918163672,long,0.0063024759292602,-0.007639467716217,-0.0947287678718566
2025-10-27,13,HOOD,0.2494647107885258,0.0249500998003992,long,-0.0099145174026489,0.0036239624023437,-0.0646153688430786
2025-10-27,14,WDC,0.2407568187204117,0.0269461077844311,long,0.1317644119262695,0.2024496793746948,0.2182196378707885
2025-10-27,15,COHR,0.2368689539622147,0.028942115768463,long,0.0284564495086669,-0.0169845223426818,-0.0412694215774536
2025-10-27,16,WBD,0.2188154662204139,0.030938123752495,long,0.0166746377944946,0.0695569515228271,0.0767031908035278
2025-10-27,17,TTD,0.2004649009848153,0.0329341317365269,long,-0.0330946445465087,-0.0269014835357666,-0.085736334323883
2025-10-27,18,INTC,0.1835833818955055,0.0349301397205588,long,-0.0045749545097351,-0.0370815396308898,-0.1083554029464721
2025-10-27,19,VRT,0.1723516151104209,0.0369261477045908,long,0.0456525087356567,0.0120165348052978,-0.051162302494049
2025-10-27,20,FIX,0.1195213233812761,0.0389221556886227,long,0.0302456617355346,-0.0156884789466857,-0.0254951119422912
