name,IC,ICIR,RankIC,long_ann_no,long_ann_w,long_ir_w,long_dd,ls_ann_no,ls_ann_w,ls_ir_w,ls_dd
baseline_MSE_CSnorm_5d,0.0021810274527528564,0.02039926677702758,0.001817761047737686,0.06486195,0.02286195,0.19047968137214227,-0.13588059,0.076912925,-0.007087077,-0.04548533533988609,-0.19184577
B_MSE_SecNeutral_5d,0.0025677879508817754,0.029916173872790025,0.006864253189331928,-0.0030618159,-0.045061816,-0.36988723239646637,-0.1786412,0.053652972,-0.030347027,-0.21500844066745148,-0.20038557
C_LongShort_of_B,0.0025677879508817754,0.029916173872790025,0.006864253189331928,-0.0030618159,-0.045061816,-0.36988723239646637,-0.1786412,0.053652972,-0.030347027,-0.21500844066745148,-0.20038557
A_LambdaRank_SecNeutral_5d,0.045074638248176396,0.2116630026007636,0.034224348560198854,0.78873616,0.7467361,3.0403648405502426,-0.08973265,1.1081053,1.0241053,2.9614011328956766,-0.12916154
D_MSE_Ens_1d5d10d,0.007050503751268916,0.07212905703386077,0.006980543134778239,0.063813604,0.021813605,0.2240975840965233,-0.116368294,0.11395513,0.029955138,0.22371851496407774,-0.15614033
D_LR_Ens_1d5d10d,0.04120235879805953,0.2032513931007306,0.034609905119538854,0.76222825,0.72022825,2.852416096145826,-0.093545675,1.07726,0.99326,2.847546506654079,-0.12080312
