date,top_sector,top_sector_count,top_sector_pct,hhi,top_score,long_5d,long_1d,short_5d,short_1d,ls_5d,ls_1d
2025-10-27,Manufacturing,20,0.6666666666666666,0.4666666666666666,0.4408277974025299,-0.021485167741775495,0.023198676109313955,-0.0028850456078847175,-0.0103511015574137,-0.018600122133890777,0.033549777666727655
2025-10-28,Manufacturing,16,0.5333333333333333,0.3266666666666666,0.4408277974025299,-0.011678194999694809,-0.027062304814656542,0.00332111517588298,0.0017153282960255835,-0.014999310175577788,-0.028777633110682127
2025-10-29,Manufacturing,18,0.6,0.4111111111111111,0.4184933712549407,0.008501567443211877,0.00821582873662312,-0.0019485712051391596,-0.004094741741816188,0.010450138648351037,0.012310570478439309
2025-10-30,Manufacturing,18,0.6,0.39999999999999997,0.5963688647466016,0.005611230929692597,0.00420886675516765,0.013035166263580296,-0.00378971695899963,-0.007423935333887698,0.007998583714167281
2025-10-31,Manufacturing,18,0.6,0.4133333333333334,0.4649971364288884,0.02947051922480266,-0.03325026830037432,0.004465657472610461,0.0002730290095011271,0.0250048617521922,-0.03352329730987545
2025-11-03,Manufacturing,18,0.6,0.4066666666666667,0.6084940488067923,0.045387579997380585,0.03755625287691749,0.019550365209579427,0.004078674316406234,0.02583721478780116,0.033477578560511256
2025-11-04,Manufacturing,21,0.7,0.511111111111111,0.6136937022785789,0.01697311600049337,-0.011092128356297786,0.02788761258125301,0.00142295956611635,-0.010914496580759641,-0.012515087922414136
2025-11-05,Manufacturing,22,0.7333333333333333,0.5533333333333332,0.551530822575971,-0.027187176545460993,0.0031861186027526797,0.022855957349141403,0.013176236550013189,-0.050043133894602396,-0.00999011794726051
2025-11-06,Manufacturing,18,0.6,0.3911111111111111,0.4948210877202582,-0.026355950037638323,0.02957693934440609,0.0021920621395110865,0.0024107376734415734,-0.02854801217714941,0.027166201670964518
2025-11-07,Manufacturing,17,0.5666666666666667,0.3688888888888888,0.6043644193599007,-0.07165980537732437,-0.013388798634211203,-0.013442977269490532,0.007320439815521209,-0.05821682810783384,-0.020709238449732412
2025-11-10,Manufacturing,19,0.6333333333333333,0.43999999999999995,0.610976967270155,-0.06505016287167864,0.0033441603183746163,-0.018543068567911748,0.0017491499582926431,-0.04650709430376689,0.0015950103600819731
2025-11-11,Manufacturing,20,0.6666666666666666,0.4688888888888889,0.6206845335684024,-0.06580248673756912,-0.04893195827802019,-0.03000509937604264,-0.010055424769719419,-0.03579738736152649,-0.03887653350830077
2025-11-12,Manufacturing,16,0.5333333333333333,0.34444444444444444,0.5304036774310025,-0.061814659833908034,0.005254260698954264,-0.026655660072962398,-0.0047655244668324565,-0.035158999760945636,0.010019785165786721
2025-11-13,Manufacturing,17,0.5666666666666667,0.3666666666666666,0.7130265571833515,-0.05643489162127175,-0.0134684920310974,-0.0018284559249877935,-0.00927942593892412,-0.054606435696283956,-0.004189066092173279
2025-11-14,Manufacturing,18,0.6,0.41555555555555557,0.5384178882993129,-0.0062554955482482825,-0.010097752014795926,0.0026646753152211365,-0.0025520960489908697,-0.008920170863469419,-0.007545655965805057
2025-11-17,Manufacturing,21,0.7,0.511111111111111,0.3998359785033906,0.020284082492192556,0.011572841803232817,0.024338016907374034,-0.004716469844182317,-0.004053934415181478,0.016289311647415136
2025-11-18,Manufacturing,19,0.6333333333333333,0.4444444444444444,0.2666343231139401,0.029002094268798805,-0.05917073885599767,0.028763212760289474,-0.005267244577407826,0.00023888150850933168,-0.05390349427858984
2025-11-19,Manufacturing,21,0.7,0.5155555555555553,0.3998359785033906,0.1262260735034942,0.019448345899581877,0.04105420311292008,0.01919268767038976,0.08517187039057414,0.00025565822919211556
2025-11-20,Manufacturing,21,0.7,0.5266666666666666,0.560502581081412,0.09094715714454647,0.04426456689834592,0.0008285164833068882,-0.00514933268229166,0.09011864066123959,0.04941389958063758
2025-11-21,Manufacturing,20,0.6666666666666666,0.48222222222222216,0.5297415051452619,0.05790762901306149,0.010157573223114006,-0.005143670241037996,0.00288053154945372,0.06305129925409948,0.007277041673660286
2025-11-24,Manufacturing,19,0.6333333333333333,0.4511111111111111,0.5289204217368467,0.05767442186673479,0.025686424970626794,0.0020021796226501504,0.00301816463470457,0.05567224224408464,0.022668260335922223
2025-11-25,Manufacturing,23,0.7666666666666667,0.6044444444444445,0.5461630716493058,0.030848793188730867,0.02141917943954464,-0.00370624462763468,0.00410208900769548,0.03455503781636555,0.01731709043184916
2025-11-26,Manufacturing,19,0.6333333333333333,0.4444444444444444,0.5461630716493058,0.037946804364522274,-0.009323288997014335,-0.012726898988087942,-0.007370611031850143,0.05067370335261022,-0.0019526779651641915
2025-11-28,Manufacturing,18,0.6,0.43777777777777777,0.3008800954772953,0.05185512701670327,0.00682326952616373,-0.018063879013061494,-0.00556639035542803,0.06991900602976477,0.012389659881591759
2025-12-01,Manufacturing,21,0.7,0.5222222222222221,0.0517305365408179,0.047975228230158456,0.007533198595046988,-0.009296059608459471,0.00701280434926349,0.05727128783861793,0.0005203942457834981
2025-12-02,Manufacturing,20,0.6666666666666666,0.48222222222222216,0.0517305365408179,0.05511018633842467,0.010772440830866486,0.005614024400711046,-0.0016466101010640434,0.049496161937713626,0.01241905093193053
2025-12-03,Manufacturing,22,0.7333333333333333,0.571111111111111,0.4319377755479779,0.04332901438077289,0.014570709069569884,0.011688945690790788,0.0035989085833231633,0.03164006868998211,0.01097180048624672
2025-12-04,Manufacturing,17,0.5666666666666667,0.3777777777777777,0.0516830178984683,-0.016135873397191355,0.014566045999526956,0.007960649331410713,-0.010964532693227086,-0.02409652272860207,0.02553057869275404
2025-12-05,Manufacturing,18,0.6,0.4022222222222222,0.4796879623142575,-0.025871229171752927,0.007248524824778229,0.020220013459523494,-0.00354520479838052,-0.046091242631276425,0.010793729623158749
2025-12-08,Manufacturing,18,0.6,0.4066666666666666,0.3329962093651858,-0.028943242629369082,0.020791773001352917,0.012921748558680208,0.00725916624069213,-0.04186499118804929,0.013532606760660787
2025-12-09,Manufacturing,18,0.6,0.4022222222222222,0.309978407008065,-0.054857947429021184,0.005569467941919952,0.007319629192352286,0.012490548690160074,-0.06217757662137347,-0.006921080748240122
2025-12-10,Manufacturing,18,0.6,0.4066666666666666,0.3452804545793291,-0.06425787210464474,-0.04644065697987872,-0.0027532239754994793,-0.0006259799003601157,-0.061504648129145266,-0.0458146770795186
2025-12-11,Manufacturing,16,0.5333333333333333,0.3422222222222222,0.4196142652524197,0.023458476861317946,-0.00229663451512655,-0.0032207886377970435,0.0038457651933034164,0.02667926549911499,-0.006142399708429966
2025-12-12,Manufacturing,18,0.6,0.4044444444444444,0.473764423639538,0.039864931503931667,0.00037389596303304015,0.002927454312642416,-0.00620124936103819,0.03693747719128925,0.00657514532407123
2025-12-15,Manufacturing,17,0.5666666666666667,0.3755555555555555,0.3045417855425735,0.03238671422004699,-0.026551973819732625,0.007297988732655819,0.0016949435075124,0.025088725487391172,-0.028246917327245026
2025-12-16,Manufacturing,16,0.5333333333333333,0.3422222222222222,0.3045417855425735,0.06818093657493589,0.02046528657277422,0.006931875149408973,0.00021498600641885334,0.06124906142552691,0.020250300566355368
2025-12-17,Manufacturing,14,0.4666666666666667,0.2844444444444445,0.3045417855425735,0.04183045625686644,0.028068770964940353,0.01030013163884479,0.0010286013285319,0.031530324618021646,0.027040169636408453
2025-12-18,Manufacturing,16,0.5333333333333333,0.34444444444444444,0.4315595836932169,0.0038267493247985734,0.012913835048675512,0.008486276865005467,0.009106347958246828,-0.004659527540206894,0.0038074870904286837
2025-12-19,Manufacturing,17,0.5666666666666667,0.37111111111111106,0.1281057583785523,-0.01580527822176613,-0.00449262062708536,0.0013096233208974234,0.0002013961474100701,-0.01711490154266355,-0.00469401677449543
