date,prior_top30_1d_pct,top30_overlap,top_sector_pct,repeated_cohort_1d_pct,cb_fired,curr_top30_5d_pct
2025-10-28,-0.7619759,0.8,0.5333333333333333,-0.47822934,False,-1.1678194999694824
2025-10-29,2.389632,0.7,0.6,5.4754734,False,0.8501567840576172
2025-10-30,-1.9902796,0.9,0.6,-3.2667112,True,0.5611231327056885
2025-10-31,1.011342,0.8333333333333334,0.6,0.53829485,False,2.947052001953125
2025-11-03,0.54166794,0.7333333333333333,0.6,2.1456532,False,4.538757801055908
2025-11-04,-3.3809564,0.7666666666666667,0.7,-4.7335973,True,1.697311520576477
2025-11-05,3.8949852,0.8333333333333334,0.7333333333333333,9.163457,False,-2.718717575073242
2025-11-06,-1.2436587,0.8666666666666667,0.6,-0.43169037,True,-2.6355950832366943
2025-11-07,0.62537414,0.8666666666666667,0.5666666666666667,1.005594,False,-7.165980339050293
2025-11-10,3.0581105,0.8,0.6333333333333333,5.0697303,False,-6.505016326904297
2025-11-11,-1.1430905,0.7333333333333333,0.6666666666666666,-2.1222167,True,-6.580249309539795
2025-11-12,0.3883966,0.7,0.5333333333333333,1.631204,False,-6.1814656257629395
2025-11-13,-4.1408863,0.7666666666666667,0.5666666666666667,-7.914951,False,-5.643489360809326
2025-11-14,0.52048206,0.8333333333333334,0.6,1.0123044,False,-0.6255495548248291
2025-11-17,-1.1127272,0.8,0.7,0.45477617,False,2.0284082889556885
2025-11-18,-1.2438248,0.8333333333333334,0.6333333333333333,-2.414044,True,2.900209426879883
2025-11-19,1.3144829,0.8,0.7,2.3221254,False,12.622608184814453
2025-11-20,-5.860112,0.7666666666666667,0.7,-9.712052,True,9.094715118408203
2025-11-21,1.6576122,0.8666666666666667,0.6666666666666666,2.6347308,False,5.790762901306152
2025-11-24,4.042306,0.9333333333333333,0.6333333333333333,9.557203,False,5.767442226409912
2025-11-25,0.83747226,0.8333333333333334,0.7666666666666667,-0.87439644,False,3.0848793983459473
2025-11-26,2.5548303,0.7666666666666667,0.6333333333333333,3.509087,False,3.794680595397949
2025-11-28,2.3877563,0.8,0.6,3.571133,False,5.185513019561768
2025-12-01,-1.0370365,0.6666666666666666,0.7,-1.3305211,False,4.79752254486084
2025-12-02,0.47289905,0.7,0.6666666666666666,0.0674665,False,5.511019229888916
2025-12-03,1.24241,0.8,0.7333333333333333,0.31437874,False,4.332901477813721
2025-12-04,0.84686774,0.6666666666666666,0.5666666666666667,7.1413994,False,-1.6135873794555664
2025-12-05,0.951281,0.7,0.6,4.3645067,False,-2.587122917175293
2025-12-08,1.5718338,0.8,0.6,1.1187443,False,-2.89432430267334
2025-12-09,0.17775457,0.7333333333333333,0.6,1.4919443,False,-5.485795497894287
2025-12-10,2.3007524,0.7,0.6,3.9965312,False,-6.425786972045898
2025-12-11,-0.13182323,0.7666666666666667,0.5333333333333333,3.0114384,False,2.3458476066589355
2025-12-12,-3.9821672,0.7666666666666667,0.6,-7.61048,True,3.9864931106567383
2025-12-15,-0.5711472,0.8,0.5666666666666667,-0.85412526,False,3.23867130279541
2025-12-16,-0.16661148,0.8,0.5333333333333333,-1.053272,False,6.818094253540039
2025-12-17,-2.5571208,0.7666666666666667,0.4666666666666667,-1.5861998,False,4.183045387268066
2025-12-18,2.0260057,0.8,0.5333333333333333,3.0625668,False,0.3826749324798584
2025-12-19,2.9890723,0.8,0.5666666666666667,3.8680553,False,-1.5805277824401855
2025-12-22,1.4476484,0.7,0.6333333333333333,1.7707918,False,-2.220555305480957
2025-12-23,-0.69066447,0.8,0.4666666666666667,0.28547794,False,-0.8948274850845337
2025-12-24,0.52705765,0.7666666666666667,0.43333333333333335,1.9243509,False,0.5490042567253113
2025-12-26,-0.34603077,0.7333333333333333,0.43333333333333335,0.29403567,False,6.717443466186523
2025-12-29,-0.92537224,0.8333333333333334,0.5,-1.8402541,False,6.221426963806152
2025-12-30,-0.6168524,0.8333333333333334,0.43333333333333335,-0.9982084,False,5.741917133331299
2025-12-31,-1.3278428,0.8666666666666667,0.5333333333333333,-1.5509188,False,3.880343198776245
2026-01-02,2.550099,0.6666666666666666,0.5,7.808137,False,5.253993034362793
2026-01-05,0.8534554,0.7333333333333333,0.5333333333333333,0.35548583,False,1.3275092840194702
2026-01-06,5.088433,0.7666666666666667,0.5666666666666667,7.7578783,False,1.5550678968429565
2026-01-07,-1.1771325,0.9,0.6333333333333333,-1.0232836,True,3.899623155593872
2026-01-08,-2.77043,0.8333333333333334,0.6666666666666666,-6.7947097,True,2.466458559036255
2026-01-09,3.1983056,0.7666666666666667,0.5666666666666667,4.4790463,False,0.4188137948513031
2026-01-12,1.1439047,0.7,0.5333333333333333,0.8883874,False,2.5647060871124268
2026-01-13,1.2994659,0.8,0.6,4.1482472,False,3.764981508255005
2026-01-14,-1.1755828,0.8,0.6,-0.35052672,True,2.6331377029418945
2026-01-15,0.3391397,0.7,0.6,0.17024726,False,2.0925073623657227
2026-01-16,-0.14620364,0.8,0.5333333333333333,0.4130866,False,3.8808341026306152
2026-01-20,-0.028344193,0.7333333333333333,0.5,3.4876146,False,1.966240406036377
2026-01-21,3.130496,0.7333333333333333,0.5666666666666667,7.894691,False,1.2879059314727783
2026-01-22,0.6401147,0.7,0.6666666666666666,0.8880973,False,-0.8067851662635803
2026-01-23,-1.1957642,0.8,0.6333333333333333,-2.3438334,True,2.0636415481567383
2026-01-26,-0.33542633,0.7666666666666667,0.6,-1.2116262,False,-1.007596731185913
2026-01-27,1.7334329,0.8333333333333334,0.5333333333333333,3.3265762,False,-7.349628925323486
2026-01-28,1.4037647,0.8333333333333334,0.5333333333333333,4.460992,False,-8.452900886535645
2026-01-29,-0.609385,0.9333333333333333,0.5,1.3698771,False,0.19622643291950226
2026-01-30,-4.0726967,0.8,0.6333333333333333,-4.4704733,True,0.21849891543388367
2026-02-02,2.1816444,0.8,0.6,3.6509514,False,0.15388727188110352
2026-02-03,-0.6791512,0.8333333333333334,0.5666666666666667,1.730635,False,5.739613056182861
2026-02-04,-4.3714166,0.8666666666666667,0.5666666666666667,-4.3731356,False,4.947878360748291
2026-02-05,-2.3494477,0.9,0.6333333333333333,-1.6820884,True,1.4501203298568726
2026-02-06,4.933886,0.8333333333333334,0.5666666666666667,4.980125,False,-0.5377845168113708
2026-02-09,1.1464866,0.7333333333333333,0.5666666666666667,0.5594872,False,1.615422010421753
2026-02-10,-0.98012805,0.8333333333333334,0.5666666666666667,-1.0372213,False,1.3789000511169434
2026-02-11,0.48502842,0.8333333333333334,0.6,3.9827242,False,4.119852542877197
2026-02-12,-1.7893176,0.8666666666666667,0.5,0.9933375,False,0.3225495219230652
2026-02-13,1.3182187,0.6,0.6333333333333333,0.40741488,False,4.216611385345459
2026-02-17,0.4592985,0.7666666666666667,0.6666666666666666,-0.93261796,False,3.7165303230285645
2026-02-18,1.1591933,0.7666666666666667,0.6,1.8736823,False,1.9593009948730469
2026-02-19,-0.1331091,0.8,0.6333333333333333,-0.6781244,False,0.6473080515861511
2026-02-20,0.8401571,0.6333333333333333,0.6666666666666666,0.41092038,False,2.8625571727752686
2026-02-23,-1.918305,0.6,0.5,-1.3287932,False,-2.248420476913452
2026-02-24,1.326799,0.7,0.5333333333333333,1.6179541,False,-1.385597586631775
2026-02-25,1.806787,0.7333333333333333,0.5333333333333333,1.1990875,False,-2.4263291358947754
2026-02-26,-0.3842032,0.6,0.5,-1.3023033,False,-4.376108169555664
2026-02-27,-0.18981536,0.5,0.4,-1.8463463,False,-1.323097586631775
2026-03-02,1.2206093,0.6333333333333333,0.36666666666666664,0.8287589,False,0.12937228381633759
2026-03-03,-2.193659,0.5666666666666667,0.4,-2.2586167,False,-2.3020806312561035
2026-03-04,2.1804771,0.6333333333333333,0.36666666666666664,3.583518,False,-5.064413547515869
2026-03-05,-0.33355755,0.43333333333333335,0.7666666666666667,-4.017587,False,1.8791069984436035
2026-03-06,-3.991508,0.5666666666666667,0.6666666666666666,-5.3176904,False,-0.5268067121505737
2026-03-09,3.7184637,0.8,0.7,6.2530146,False,1.436793565750122
2026-03-10,0.25897583,0.8333333333333334,0.6666666666666666,0.7110082,False,0.7749984264373779
2026-03-11,0.26129127,0.6333333333333333,0.6,0.6932696,False,3.462153196334839
2026-03-12,-2.0839953,0.6333333333333333,0.8,-4.0688276,False,1.2875235080718994
2026-03-13,-0.39587677,0.7333333333333333,0.7333333333333333,-0.02631843,False,0.9271272420883179
2026-03-16,1.6890125,0.6,0.5666666666666667,3.2701988,False,-0.07681170850992203
2026-03-17,1.6225988,0.7,0.5666666666666667,0.42236894,False,1.6040610074996948
2026-03-18,-0.39557078,0.7,0.5333333333333333,2.7091775,False,-4.4395856857299805
2026-03-19,1.2131796,0.7666666666666667,0.5,2.586638,False,-2.130823850631714
2026-03-20,-2.4934385,0.7,0.6333333333333333,-3.8455803,True,-5.592064380645752
2026-03-23,1.3455882,0.7666666666666667,0.6666666666666666,0.31431466,False,-2.5995147228240967
2026-03-24,2.0296757,0.8333333333333334,0.6333333333333333,6.063383,False,-1.6730666160583496
2026-03-25,0.57747823,0.7,0.5,0.33052367,False,3.8053228855133057
2026-03-26,-3.723312,0.7666666666666667,0.5333333333333333,-5.9179287,False,5.9758620262146
2026-03-27,-1.0070351,0.8333333333333334,0.5333333333333333,-0.62601924,False,8.585042953491211
2026-03-30,-1.7034918,0.8,0.5666666666666667,-5.2693815,False,5.780140399932861
2026-03-31,4.0339413,0.7666666666666667,0.6,4.482248,False,3.854564666748047
2026-04-01,1.6612921,0.8333333333333334,0.5,2.2293398,False,-0.6340835690498352
2026-04-02,1.3603854,0.8333333333333334,0.4,1.652389,False,2.8688528537750244
2026-04-06,0.33540308,0.7333333333333333,0.6,3.7675798,False,5.73245906829834
2026-04-07,0.65736175,0.8,0.5,-0.6654054,False,3.3497941493988037
2026-04-08,1.8372873,0.7666666666666667,0.4,4.3457055,False,8.288278579711914
2026-04-09,-2.5342908,0.8333333333333334,0.4666666666666667,-1.4449708,False,7.410494327545166
2026-04-10,-0.0021576881,0.7333333333333333,0.4666666666666667,0.8577208,False,6.784931659698486
2026-04-13,3.2626953,0.8,0.43333333333333335,3.4356244,False,4.896336555480957
2026-04-14,0.3566702,0.7666666666666667,0.4666666666666667,-2.8469892,False,4.935774803161621
2026-04-15,0.96713424,0.7666666666666667,0.4666666666666667,-1.7961025,False,1.3937394618988037
2026-04-16,1.6011851,0.8,0.4666666666666667,1.2372077,False,3.544177770614624
2026-04-17,0.5625957,0.8,0.4666666666666667,1.7915308,False,1.0736432075500488
2026-04-20,1.3924843,0.7,0.6,2.6355743,False,-0.5378210544586182
2026-04-21,-0.17459552,0.7,0.4666666666666667,0.89248914,False,
2026-04-22,1.538293,0.5666666666666667,0.6,2.8725,False,
2026-04-23,-2.1639187,0.5333333333333333,0.43333333333333335,-1.9004822,False,
2026-04-24,2.0639484,0.7,0.6,6.0917797,False,
2026-04-27,-0.28743586,0.8,0.5666666666666667,-1.9337723,False,
2026-04-28,-1.9246733,0.7333333333333333,0.7333333333333333,-4.5697374,True,
