rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,SNDK,0.3413378742952983,0.00099601593625498,250.05,0.13938761,0.16280699,0.9146823,Manufacturing,COMPUTER STORAGE DEVICES
2,COHR,0.3210839095975588,0.00298804780876494,191.72,0.09111595,0.24493504,0.570527,Manufacturing,OPTICAL INSTRUMENTS & LENSES
3,LITE,0.29431515742351316,0.0049800796812749,390.77,0.15910769,0.26758134,0.8246261,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
4,ALB,0.2918512413149724,0.0069721115537848604,150.01,0.06783879,0.18201864,0.39588436,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
5,SATS,0.2742382570952036,0.008964143426294821,105.6,0.029340148,0.48984206,0.641697,Transportation_Utilities,"COMMUNICATIONS SERVICES, NEC"
6,NCLH,0.26993805709731955,0.010956175298804782,22.81,0.054553866,0.24440801,0.45453042,Transportation_Utilities,WATER TRANSPORTATION
7,MRNA,0.22916926598915696,0.012948207171314742,31.2,0.008077502,0.24750102,0.6697977,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
8,APP,0.21275358899845953,0.014940239043824702,714.23,0.028601408,0.21805346,0.49132654,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
9,DLTR,0.20462927851621227,0.01693227091633466,123.95,-0.023246706,0.129385,0.40658176,Retail,RETAIL-VARIETY STORES
10,COIN,0.2035357425040302,0.018924302788844622,236.9,-0.009615421,-0.10593653,0.43397328,Finance_Insurance_RealEstate,FINANCE SERVICES
11,RCL,0.13788591552462628,0.02091633466135458,285.67,-0.0036968589,0.075119615,0.4219816,Transportation_Utilities,WATER TRANSPORTATION
12,ORCL,0.09451883047171977,0.022908366533864542,197.99,0.09976125,-0.034006655,0.59766376,Services,SERVICES-PREPACKAGED SOFTWARE
13,MU,0.0939862197366497,0.0249003984063745,284.79,0.14580572,0.23681927,0.6475575,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
14,CVNA,0.07856033717628551,0.026892430278884463,438.47,-0.058551967,0.22707307,0.5685164,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
15,WDC,0.0775609449572779,0.02888446215139442,181.54,0.03731215,0.15088117,0.5492817,Manufacturing,COMPUTER STORAGE DEVICES
16,SMCI,0.07225857679655749,0.030876494023904383,30.64,0.04324138,-0.06670737,0.43309757,Manufacturing,ELECTRONIC COMPUTERS
17,GNRC,0.07149924854262221,0.03286852589641434,140.56,0.026060224,-0.05550337,0.46332398,Manufacturing,MOTORS & GENERATORS
18,HOOD,0.07105289853175828,0.0348605577689243,118.13,0.008279204,-0.07854915,0.5649669,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
19,PSKY,0.026421858274972253,0.036852589641434265,13.59,0.044581056,-0.13932866,0.6462047,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
20,WBD,0.025251145712050345,0.03884462151394422,28.8,0.043100238,0.20603013,0.40364528,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
21,TER,0.004221170427433692,0.04083665338645418,198.9,0.044368625,0.10881925,0.3816595,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
22,CIEN,-0.009118287361721267,0.04282868525896414,241.68,0.14697921,0.20665038,0.7055481,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
23,FCX,-0.012881468559558582,0.044820717131474105,53.04,0.10684478,0.258363,0.25381535,Mining,METAL MINING
24,ARE,-0.018318290044506615,0.046812749003984064,48.6,-0.007150173,-0.09277582,0.46621928,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
25,AXON,-0.018683904152643174,0.04880478087649402,583.84,0.036500454,0.095035434,0.32820392,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
26,DG,-0.02711244381381756,0.05079681274900399,137.84,0.008486986,0.26726115,0.61422145,Retail,RETAIL-VARIETY STORES
27,EPAM,-0.02974404884578195,0.052788844621513946,211.41,0.021205664,0.1446749,0.23148093,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
28,CMG,-0.03340567599199347,0.054780876494023904,37.81,0.004783392,0.1110785,0.22979137,Retail,RETAIL-EATING PLACES
29,DDOG,-0.06051390261053998,0.05677290836653386,138.315,0.00018084049,-0.12679917,0.2245215,Services,SERVICES-PREPACKAGED SOFTWARE
30,MOS,-0.07038057454463,0.05876494023904383,24.31,0.014607668,0.0020610094,0.43138433,Manufacturing,AGRICULTURAL CHEMICALS
31,MCHP,-0.07502341035485303,0.060756972111553786,64.94,0.013737202,0.23530531,0.5320113,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
32,GM,-0.07595896454836412,0.06274900398406374,83.06,0.023284435,0.14077735,0.20500106,Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES
33,DASH,-0.08100595151945919,0.0647410358565737,233.95,0.013033628,0.1937443,0.36190942,Services,"SERVICES-BUSINESS SERVICES, NEC"
34,NFLX,-0.08156587725671126,0.06673306772908366,94.47,0.004999995,-0.10994911,0.30617422,Services,SERVICES-VIDEO TAPE RENTAL
35,CCL,-0.08437965780627875,0.06872509960159362,30.7,0.0832746,0.20723557,0.47180897,Transportation_Utilities,WATER TRANSPORTATION
36,FFIV,-0.08517013477698099,0.07071713147410359,263.14,0.015553355,0.10460925,0.20643498,Manufacturing,COMPUTER COMMUNICATIONS EQUIPMENT
37,LUV,-0.08588259528852428,0.07270916334661355,41.28,0.0135035515,0.17741013,0.3087257,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
38,JBHT,-0.08726085669490129,0.07470119521912351,198.28,0.009469509,0.14348328,0.23904222,Transportation_Utilities,TRUCKING (NO LOCAL)
39,DECK,-0.0880629247507471,0.07669322709163347,103.09,0.025261045,0.18236029,0.29316604,Manufacturing,RUBBER & PLASTICS FOOTWEAR
40,TTD,-0.08849858866943093,0.07868525896414343,38.31,0.027353168,-0.020455122,0.29576033,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
41,CAH,-0.09075661415565568,0.08067729083665338,208.29,0.0461576,-0.022755027,0.17000149,Wholesale,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
42,CHTR,-0.09136553351758042,0.08266932270916334,207.16,0.0031961203,0.036785007,0.2377941,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
43,POOL,-0.09136553351758042,0.0846613545816733,232.49,-0.016373336,-0.048225343,0.17193897,Wholesale,WHOLESALE-MISC DURABLE GOODS
44,IRM,-0.09741080272599793,0.08665338645418327,81.99,0.039690614,-0.049060583,0.31118947,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
45,LVS,-0.1028286427234849,0.08864541832669323,66.2,-0.011350095,-0.030036688,0.1908708,Services,HOTELS & MOTELS
46,GRMN,-0.10444168618304525,0.09063745019920319,205.51,0.016369939,0.055033684,0.22024228,Manufacturing,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS"
47,PLTR,-0.10912936728216747,0.09262948207171315,188.71,0.016263723,0.13838446,0.39110956,Services,SERVICES-PREPACKAGED SOFTWARE
48,STX,-0.11335327489910009,0.0946215139442231,286.22,-0.019794524,0.05119729,0.52547807,Manufacturing,COMPUTER STORAGE DEVICES
49,REGN,-0.1271613988820967,0.09661354581673307,784.97,0.048429847,0.00045883656,0.3166412,Manufacturing,PHARMACEUTICAL PREPARATIONS
50,ZBRA,-0.12968650540210153,0.09860557768924302,246.27,-0.025483787,-0.016886234,0.20977588,Manufacturing,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
51,BAX,-0.13089483691708606,0.10059760956175298,19.38,0.016255856,0.02485454,0.24603671,Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
52,IP,-0.13089483691708606,0.10258964143426295,39.89,0.03341973,0.0134654045,0.28957307,Manufacturing,PAPER MILLS
53,LLY,-0.13437298371762774,0.10458167330677291,1077.75,0.01974678,-0.024077713,0.24509436,Manufacturing,PHARMACEUTICAL PREPARATIONS
54,EXPD,-0.13462571552938002,0.10657370517928287,152.24,0.010084987,0.03311622,0.17069621,Transportation_Utilities,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
55,EXPE,-0.13462571552938002,0.10856573705179283,287.56,0.0068980455,0.11621773,0.28274548,Transportation_Utilities,TRANSPORTATION SERVICES
56,AMD,-0.1370369600908249,0.11055776892430279,214.99,0.06928289,0.0035007,0.3795294,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
57,DELL,-0.14347201014198221,0.11254980079681275,129.24,0.051244497,-0.030166507,0.41126224,Manufacturing,ELECTRONIC COMPUTERS
58,VST,-0.14650574679889253,0.1145418326693227,161.67,-0.027080715,-0.08557695,0.4791145,Transportation_Utilities,ELECTRIC SERVICES
59,LULU,-0.1471376394639797,0.11653386454183266,208.97,-0.028543532,0.14856541,0.43808514,Manufacturing,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL
60,XYZ,-0.14995110852641974,0.11852589641434264,66.27,0.029197097,0.019068122,0.35709947,Services,SERVICES-PREPACKAGED SOFTWARE
61,BLDR,-0.16355884835068338,0.1205179282868526,103.99,-0.015432715,-0.06944072,0.30491132,Retail,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
62,ISRG,-0.1641239502058313,0.12250996015936255,577.81,0.028332949,0.0062344074,0.19360416,Manufacturing,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
63,ANET,-0.1672742924407147,0.12450199203187251,131.84,0.057936072,0.03282404,0.38310447,Manufacturing,COMPUTER COMMUNICATIONS EQUIPMENT
64,SWKS,-0.16905108366925325,0.12649402390438247,64.21,-0.0043417215,-0.017294109,0.1982997,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
65,GOOGL,-0.16954155775386717,0.12848605577689243,313.51,0.036533833,-0.02012813,0.23279195,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
66,GOOG,-0.16954155775386717,0.13047808764940239,314.96,0.03690529,-0.016610503,0.23102689,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
67,CHRW,-0.16954155775386717,0.13247011952191234,164.625,-0.002454102,0.03187287,0.22870947,Transportation_Utilities,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO
68,DD,-0.16954155775386717,0.1344621513944223,41.26,0.018513918,0.046146035,0.13881275,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
69,NKE,-0.17329173314817475,0.13645418326693226,60.93,-0.07161355,-0.05285251,0.5009371,Manufacturing,RUBBER & PLASTICS FOOTWEAR
70,Q,-0.17754204115893013,0.13844621513944222,84.21,0.065544724,0.062854886,0.45928136,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
71,CSGP,-0.17791068364824544,0.14043824701195218,67.01,0.03282988,-0.01194334,0.31053555,Services,"SERVICES-BUSINESS SERVICES, NEC"
72,CLX,-0.17791068364824544,0.14243027888446216,98.53,-0.008652806,-0.08556843,0.21447057,Manufacturing,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS"
73,ZTS,-0.17970297220642176,0.14442231075697212,126.23,0.02826655,-0.011433959,0.21692555,Manufacturing,PHARMACEUTICAL PREPARATIONS
74,MSI,-0.17995570401817404,0.14641434262948208,377.04,0.008829713,0.020406008,0.16005503,Manufacturing,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT
75,URI,-0.17995570401817404,0.14840637450199204,827.94,0.03423977,0.015914679,0.24439368,Services,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC"
76,TSLA,-0.18694076241764077,0.150398406374502,475.19,-0.016922832,0.113952875,0.36745816,Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES
77,AJG,-0.19527047002532655,0.15239043824701196,261.48,0.03499055,0.0521487,0.2121882,Finance_Insurance_RealEstate,"INSURANCE AGENTS, BROKERS & SERVICE"
78,KMB,-0.1969726334833311,0.15438247011952191,101.0,-0.005024135,-0.067319214,0.13369375,Manufacturing,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
79,KEYS,-0.19731044330749486,0.15637450199203187,206.04,0.03262663,0.050206423,0.21763462,Manufacturing,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
80,PYPL,-0.20431582005599008,0.15836653386454183,59.97,0.008916616,-0.030082464,0.18505526,Services,"SERVICES-BUSINESS SERVICES, NEC"
81,LEN,-0.2058012300286463,0.1603585657370518,104.9,-0.031662524,-0.20094454,0.317497,Construction,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
82,J,-0.21190776051709817,0.16235059760956175,135.28,0.01951921,-0.004269123,0.19699974,Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
83,CTSH,-0.21678951287518883,0.1643426294820717,85.57,0.021609306,0.110577464,0.13770132,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
84,ALGN,-0.2184291765028002,0.16633466135458166,158.37,-0.019016385,0.075663924,0.24047077,Manufacturing,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
85,HUM,-0.21985327197964263,0.16832669322709162,258.83,-0.007058859,0.052197218,0.39530867,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
86,SW,-0.2211848451785484,0.17031872509960158,38.74,0.0031073093,0.08272791,0.3367778,Manufacturing,PAPERBOARD CONTAINERS & BOXES
87,BF.B,-0.22368353007924213,0.17231075697211157,26.19,-0.09251559,-0.085544646,0.35048756,Manufacturing,BEVERAGES
88,DAL,-0.23002687540537975,0.17430278884462153,70.85,0.009978533,0.10238063,0.2442085,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
89,LRCX,-0.23057940595603335,0.17629482071713148,178.07,0.08117795,0.147802,0.4228972,Manufacturing,"SPECIAL INDUSTRY MACHINERY, NEC"
90,HPQ,-0.23559253732808064,0.17828685258964144,23.26,-0.008102357,-0.030025005,0.29520348,Manufacturing,COMPUTER & OFFICE EQUIPMENT
91,VRT,-0.23631560511414298,0.1802788844621514,167.58,0.08543301,-0.025810957,0.57223135,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
92,CMI,-0.23844410126043938,0.18227091633466136,519.12,0.036974907,0.04427588,0.2762373,Manufacturing,ENGINES & TURBINES
93,JKHY,-0.23844410126043938,0.18426294820717132,186.13,0.009491324,0.070204735,0.17430086,Services,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN
94,BIIB,-0.24547033344583044,0.18625498007968128,177.08,0.042198777,-0.02671212,0.23820043,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
95,NEM,-0.24560268143079558,0.18824701195219123,105.78,0.06482792,0.1685816,0.3340796,Mining,GOLD AND SILVER ORES
96,TPR,-0.24576537747110092,0.1902390438247012,131.3,0.047049403,0.18608856,0.27685538,Manufacturing,LEATHER & LEATHER PRODUCTS
