rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,LITE,0.4196142652524197,0.00099601593625498,372.09,0.13493967,0.46601784,1.0987546,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
2,COHR,0.4068723498118684,0.00298804780876494,198.5,0.11925566,0.26699436,0.66279566,Manufacturing,OPTICAL INSTRUMENTS & LENSES
3,SNDK,0.3916815153677661,0.0049800796812749,241.61,0.13267076,-0.14655602,1.2669473,Manufacturing,COMPUTER STORAGE DEVICES
4,TER,0.3887395173007236,0.0069721115537848604,203.97,0.026884079,0.13778102,0.5405434,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
5,WDC,0.3769861214718455,0.008964143426294821,187.2,0.16273296,0.12696409,0.6859849,Manufacturing,COMPUTER STORAGE DEVICES
6,CIEN,0.28748245404472583,0.010956175298804782,242.37,0.23828745,0.15678692,0.6866637,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
7,PSKY,0.269515791861041,0.012948207171314742,14.12,-0.047233462,-0.09312779,0.6610847,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
8,MU,0.25436374998402167,0.014940239043824702,258.46,0.14034855,0.055369496,0.68835944,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
9,COIN,0.2470017316536309,0.01693227091633466,269.02,-0.018354297,-0.11506581,0.61959976,Finance_Insurance_RealEstate,FINANCE SERVICES
10,DASH,0.2377859864179898,0.018924302788844622,224.52,0.015054941,0.14253736,0.52058053,Services,"SERVICES-BUSINESS SERVICES, NEC"
11,HOOD,0.23262744902638344,0.02091633466135458,123.38,-0.09994167,-0.0721913,0.8709304,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
12,AMD,0.22345501986034097,0.022908366533864542,221.43,0.025233746,-0.14469475,0.49077806,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
13,STX,0.222429842718433,0.0249003984063745,307.845,0.1589241,0.086793065,0.624074,Manufacturing,COMPUTER STORAGE DEVICES
14,ALB,0.22005106905045002,0.026892430278884463,134.59,0.12967932,0.21999633,0.55260754,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
15,MCHP,0.21779896455244896,0.02888446215139442,69.09,0.06752157,0.24195564,0.56057304,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
16,ORCL,0.2154998847309561,0.030876494023904383,198.85,-0.072225034,-0.12397021,0.59589905,Services,SERVICES-PREPACKAGED SOFTWARE
17,DECK,0.19382358347958215,0.03286852589641434,101.36,0.05309093,0.20109022,0.36399528,Manufacturing,RUBBER & PLASTICS FOOTWEAR
