rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,COHR,0.473764423639538,0.00099601593625498,178.34,-0.01897794,0.2741301,0.65072465,Manufacturing,OPTICAL INSTRUMENTS & LENSES
2,LITE,0.473764423639538,0.00298804780876494,324.35,-0.021302938,0.42973638,1.135634,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
3,SNDK,0.46384638760929753,0.0049800796812749,206.18,-0.097562075,-0.1535083,1.2772062,Manufacturing,COMPUTER STORAGE DEVICES
4,TER,0.45908306746333444,0.0069721115537848604,193.37,-0.03685814,0.14022052,0.5374986,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
5,WDC,0.444532111336589,0.008964143426294821,176.34,0.04411149,0.122041225,0.69105715,Manufacturing,COMPUTER STORAGE DEVICES
6,CIEN,0.41409615298132346,0.010956175298804782,218.44,0.08294082,0.12476182,0.73220176,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
7,ALB,0.40852250478982105,0.012948207171314742,132.74,0.060308337,0.15859306,0.5485983,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
8,MU,0.37910738495628526,0.014940239043824702,241.14,0.016524792,0.01768303,0.7229711,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
9,COIN,0.3198624673793123,0.01693227091633466,267.46,-0.008415878,-0.055379033,0.572147,Finance_Insurance_RealEstate,FINANCE SERVICES
10,PSKY,0.3193727300441253,0.018924302788844622,13.74,0.02805841,-0.10605073,0.6655064,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
11,AMD,0.2916241113572613,0.02091633466135458,210.78,-0.032986224,-0.14994359,0.49682087,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
12,VRT,0.2681602032813635,0.022908366533864542,161.27,-0.14680988,-0.014482975,0.6090837,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
13,ORCL,0.2641001211007807,0.0249003984063745,189.97,-0.12689584,-0.12685573,0.5985408,Services,SERVICES-PREPACKAGED SOFTWARE
14,STX,0.263860854138285,0.026892430278884463,287.64,0.03174436,0.09552109,0.61199313,Manufacturing,COMPUTER STORAGE DEVICES
15,CVNA,0.26176231947884426,0.02888446215139442,455.68,0.13985538,0.43052673,0.6055387,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
16,MCHP,0.25946500455641913,0.030876494023904383,67.18,0.020817518,0.2256887,0.57051045,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
17,CMG,0.25782653010269435,0.03286852589641434,36.14,0.06482029,0.15168893,0.37740555,Retail,RETAIL-EATING PLACES
18,Q,0.2562612916841331,0.0348605577689243,78.94,-0.037786424,-0.08102441,0.5409596,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
19,INTC,0.2477360979945541,0.036852589641434265,37.81,-0.08693546,0.05291009,0.6711201,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
