rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,CF,0.576511694299423,0.0009940357852882703,126.73,0.05494058,0.32258403,0.7394474,Manufacturing,AGRICULTURAL CHEMICALS
2,LITE,0.5516447462320994,0.002982107355864811,700.81,0.04287207,0.17929864,1.1698622,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
3,LYB,0.5378737826239969,0.004970178926441352,75.2,0.11622369,0.3435768,0.55154526,Manufacturing,INDUSTRIAL ORGANIC CHEMICALS
4,TTD,0.5213734361429543,0.006958250497017893,23.55,-0.13673025,-0.07647061,0.8436015,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5,FICO,0.5077451202367649,0.008946322067594433,1203.7,0.033014894,-0.119413674,0.7433998,Services,"SERVICES-BUSINESS SERVICES, NEC"
6,GNRC,0.4844962906356728,0.010934393638170975,200.27,-0.058084786,-0.12296915,0.4055611,Manufacturing,MOTORS & GENERATORS
7,COHR,0.4558963840058716,0.012922465208747515,257.21,0.023069859,0.14882302,0.9273891,Manufacturing,OPTICAL INSTRUMENTS & LENSES
8,GLW,0.455392847660918,0.014910536779324055,129.86,-0.014420092,-0.016286612,0.7621257,Manufacturing,DRAWING & INSULATING OF NONFERROUS WIRE
9,CIEN,0.45374595703267423,0.016898608349900597,385.26,0.13328433,0.2389375,0.7710477,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
10,XYZ,0.40482614490864044,0.018886679920477135,57.84,-0.105059505,0.07910454,0.76325727,Services,SERVICES-PREPACKAGED SOFTWARE
11,TER,0.39215900983109603,0.020874751491053677,300.07,-0.006357789,-0.04685217,0.6796404,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
12,SNDK,0.3729712816780752,0.02286282306163022,753.69,0.14991689,0.25531304,0.88296735,Manufacturing,COMPUTER STORAGE DEVICES
13,AXON,0.36868436995677345,0.02485089463220676,508.41,-0.01769811,0.182019,0.7880692,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
14,WDC,0.3660699566792219,0.0268389662027833,304.9,0.13425839,0.028122425,0.7449411,Manufacturing,COMPUTER STORAGE DEVICES
15,PSKY,0.3636160749610691,0.02882703777335984,9.0,-0.09456736,-0.19064748,1.0009447,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
16,INTU,0.3489839273609591,0.030815109343936383,446.79,0.0143944025,0.14687991,0.5245533,Services,SERVICES-PREPACKAGED SOFTWARE
17,LUV,0.3302771720758991,0.032803180914512925,40.19,-0.03966546,-0.26660585,0.5036047,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
18,DOW,0.31611220330852485,0.03479125248508946,37.69,0.09659588,0.1934768,0.49804065,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
19,ARES,0.31388024461283054,0.036779324055666,105.97,0.02426064,-0.20900202,0.6048112,Finance_Insurance_RealEstate,INVESTMENT ADVICE
20,KKR,0.3084040401027007,0.03876739562624255,90.63,0.040169835,-0.12519306,0.56189096,Finance_Insurance_RealEstate,INVESTMENT ADVICE
21,STX,0.30218807050081703,0.040755467196819085,406.77,0.05389011,-0.040953517,0.65318614,Manufacturing,COMPUTER STORAGE DEVICES
