rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,SATS,0.2124194669977472,0.0009940357852882703,123.27,0.027249932,0.22182572,0.5039468,Transportation_Utilities,"COMMUNICATIONS SERVICES, NEC"
2,APP,0.2124194669977472,0.002982107355864811,568.76,-0.12190449,-0.13447869,0.61749476,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
3,WDC,0.2124194669977472,0.004970178926441352,221.51,0.10500836,0.3323108,0.8819758,Manufacturing,COMPUTER STORAGE DEVICES
4,SNDK,0.2124194669977472,0.006958250497017893,413.62,0.09594333,0.9998065,1.2122971,Manufacturing,COMPUTER STORAGE DEVICES
5,MRNA,0.2053578133018214,0.008946322067594433,41.83,0.21953356,0.37102592,0.9492892,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
6,MU,0.2053578133018214,0.010934393638170975,362.75,0.051175117,0.6085048,0.736112,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
7,LITE,0.20533777954566831,0.012922465208747515,324.25,-0.07731491,0.0124902725,0.9596788,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
8,LRCX,0.1870347722108727,0.014910536779324055,222.96,0.021066189,0.43863738,0.5795807,Manufacturing,"SPECIAL INDUSTRY MACHINERY, NEC"
9,NEM,0.1799731185149469,0.016898608349900597,114.12,0.047068596,0.14751136,0.3785047,Mining,GOLD AND SILVER ORES
10,ALB,0.1585667426817149,0.018886679920477135,163.04,0.010850072,0.21030354,0.5263189,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
11,AMAT,0.15046979090665966,0.020874751491053677,327.01,0.08576274,0.31715477,0.44648185,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
12,DDOG,0.14610263209427507,0.02286282306163022,119.02,-0.0515579,-0.12939805,0.37997785,Services,SERVICES-PREPACKAGED SOFTWARE
13,IRM,0.13963055300068408,0.02485089463220676,95.93,0.07556903,0.20833862,0.1852486,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
14,STX,0.12969632532419634,0.0268389662027833,326.23,0.07308972,0.1749686,0.7831879,Manufacturing,COMPUTER STORAGE DEVICES
15,DG,0.12387431288751438,0.02882703777335984,148.74,0.042034507,0.0859313,0.30342808,Retail,RETAIL-VARIETY STORES
16,INTC,0.12201973724898493,0.030815109343936383,46.96,0.030954957,0.3026352,0.6060657,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
17,DASH,0.11506767973635192,0.032803180914512925,205.32,-0.047504127,-0.072209656,0.3262108,Services,"SERVICES-BUSINESS SERVICES, NEC"
18,HPQ,0.11019542746752556,0.03479125248508946,20.37,-0.051234186,-0.16618907,0.2785448,Manufacturing,COMPUTER & OFFICE EQUIPMENT
19,CIEN,0.10858379089642531,0.036779324055666,243.42,0.055777192,0.19382048,0.8100215,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
20,NCLH,0.09876933849572599,0.03876739562624255,22.01,-0.10273135,0.02181983,0.4792165,Transportation_Utilities,WATER TRANSPORTATION
21,TER,0.09595280457693281,0.040755467196819085,228.145,0.05010128,0.23181796,0.4210394,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
22,NOW,0.08689343386087163,0.042743538767395624,127.31,-0.1021862,-0.18640321,0.2800344,Services,SERVICES-PREPACKAGED SOFTWARE
23,CVNA,0.08647131292822004,0.04473161033797217,443.12,-0.043123364,-0.0069695115,0.50578576,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
24,SMCI,0.07788874012525937,0.04671968190854871,32.64,0.082228065,0.093833804,0.58277255,Manufacturing,ELECTRONIC COMPUTERS
25,CNC,0.06739604821564507,0.048707753479125246,45.75,-0.018450975,0.17700028,0.3278149,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
26,COIN,0.06228370699365369,0.05069582504970179,241.15,0.0015366077,-0.012449384,0.49260917,Finance_Insurance_RealEstate,FINANCE SERVICES
