rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,LITE,0.4315595836932169,0.00099601593625498,337.13,-0.093955755,0.2536441,1.1426018,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
2,COHR,0.4295564837971842,0.00298804780876494,175.71,-0.11481106,0.2292571,0.6672247,Manufacturing,OPTICAL INSTRUMENTS & LENSES
3,WDC,0.40473325684811,0.0049800796812749,175.01,-0.06511754,0.13664997,0.703109,Manufacturing,COMPUTER STORAGE DEVICES
4,ALB,0.402607611067927,0.0069721115537848604,140.48,0.043762565,0.11775935,0.554125,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
5,TER,0.3979163810932361,0.008964143426294821,190.45,-0.0662843,0.13208103,0.5495338,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
6,WBD,0.37709023087571053,0.010956175298804782,27.61,-0.063750386,0.19575572,0.4120683,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
7,SNDK,0.35703446666732735,0.012948207171314742,219.46,-0.09167665,-0.10774112,1.2549056,Manufacturing,COMPUTER STORAGE DEVICES
8,CVNA,0.3425664544972934,0.014940239043824702,465.74,-0.014786482,0.41240335,0.6185787,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
9,SATS,0.33987613529550553,0.01693227091633466,102.59,-0.017243087,0.4846599,0.63586646,Transportation_Utilities,"COMMUNICATIONS SERVICES, NEC"
10,GNRC,0.33574126040151575,0.018924302788844622,136.99,-0.18288094,-0.069740534,0.5234561,Manufacturing,MOTORS & GENERATORS
11,CIEN,0.2916683075802217,0.02091633466135458,210.71,-0.13062668,0.11616707,0.7512387,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
12,MU,0.2782491246416639,0.022908366533864542,248.55,-0.038342476,0.10016823,0.7770887,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
13,VRT,0.2378672672868483,0.0249003984063745,154.39,-0.13584465,-0.09528273,0.6218578,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
14,DLTR,0.22359845391944905,0.026892430278884463,126.9,-0.023620844,0.26963484,0.41720816,Retail,RETAIL-VARIETY STORES
15,FFIV,0.21660941795270597,0.02888446215139442,259.11,-0.02019298,0.15679264,0.23553063,Manufacturing,COMPUTER COMMUNICATIONS EQUIPMENT
16,EPAM,0.2163446723554805,0.030876494023904383,207.02,-0.019373775,0.14419949,0.2329101,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
17,STX,0.20607982819067924,0.03286852589641434,292.0,-0.051470697,0.12682569,0.6345604,Manufacturing,COMPUTER STORAGE DEVICES
18,HOOD,0.20344521782119007,0.0348605577689243,117.16,-0.05041331,-0.008463085,0.81509113,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
19,DELL,0.2001269446941899,0.036852589641434265,122.94,-0.11298704,0.0298208,0.5020858,Manufacturing,ELECTRONIC COMPUTERS
20,COIN,0.19644805209532346,0.03884462151394422,239.2,-0.11084676,-0.07030982,0.5747938,Finance_Insurance_RealEstate,FINANCE SERVICES
21,DDOG,0.19590425686629914,0.04083665338645418,138.29,-0.07745165,-0.21564293,0.37082046,Services,SERVICES-PREPACKAGED SOFTWARE
22,DASH,0.19109465064115455,0.04282868525896414,230.94,0.028594375,0.14148724,0.4777844,Services,"SERVICES-BUSINESS SERVICES, NEC"
23,ORCL,0.18468215371181068,0.044820717131474105,180.03,-0.09464425,-0.201747,0.61353886,Services,SERVICES-PREPACKAGED SOFTWARE
24,SMCI,0.18323140891869025,0.046812749003984064,29.37,-0.1366843,-0.12926173,0.46613908,Manufacturing,ELECTRONIC COMPUTERS
25,Q,0.1801495327120827,0.04880478087649402,79.03,-0.06804252,-0.0074102283,0.5591101,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
26,APP,0.17687957536560714,0.05079681274900399,694.37,-0.03153503,0.31000853,0.5563317,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
27,ARE,0.17329000547396942,0.052788844621513946,48.95,0.07417166,-0.011310816,0.50033283,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
28,PSKY,0.1668630720648187,0.054780876494023904,13.01,-0.07861185,-0.15901744,0.66779053,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
29,ZBRA,0.16590737005122083,0.05677290836653386,252.71,-0.07614976,0.09431434,0.29860052,Manufacturing,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT
