rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,COHR,0.6178870699557392,0.0009940357852882703,242.76,0.029865861,0.12336874,0.91510576,Manufacturing,OPTICAL INSTRUMENTS & LENSES
2,KEYS,0.5978390066132566,0.002982107355864811,279.78,0.026979446,0.2191912,0.89808035,Manufacturing,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL"
3,LITE,0.5544105429003267,0.004970178926441352,622.5,0.11471236,0.0669111,1.1682873,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
4,MRNA,0.5235612435428478,0.006958250497017893,52.56,0.00076162815,0.31039643,0.82752216,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
5,GLW,0.5166912962914081,0.008946322067594433,129.12,0.047286868,-0.01809889,0.76262057,Manufacturing,DRAWING & INSULATING OF NONFERROUS WIRE
6,TER,0.49591682294000766,0.010934393638170975,286.42,0.048965454,-0.07912415,0.6797197,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
7,CIEN,0.48986571098774906,0.012922465208747515,337.38,0.14688778,0.1516248,0.731725,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
8,LUV,0.48140141462585145,0.014910536779324055,38.75,-0.067613125,-0.23765498,0.5368191,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
9,GNRC,0.46951346722395176,0.016898608349900597,200.53,-0.017106175,-0.07045841,0.45921707,Manufacturing,MOTORS & GENERATORS
10,STX,0.4644753196194,0.018886679920477135,383.71,0.087613344,-0.11007261,0.596734,Manufacturing,COMPUTER STORAGE DEVICES
11,AXON,0.4584420594755492,0.020874751491053677,496.18,-0.13559002,0.1385237,0.7838718,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
12,TTD,0.4563184252613605,0.02286282306163022,27.34,-0.06625682,0.045906663,0.77155775,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
13,CF,0.43213606360065,0.02485089463220676,129.57,0.11910522,0.37606204,0.6963346,Manufacturing,AGRICULTURAL CHEMICALS
14,PSKY,0.4271289541740798,0.0268389662027833,9.72,-0.18932438,-0.051707268,1.0196174,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
15,LRCX,0.4097785464603991,0.02882703777335984,212.2,0.064566255,-0.082537055,0.53779536,Manufacturing,"SPECIAL INDUSTRY MACHINERY, NEC"
16,WDC,0.38430334888194767,0.030815109343936383,272.29,0.110254884,-0.04156989,0.64237446,Manufacturing,COMPUTER STORAGE DEVICES
17,LYB,0.37666082334782514,0.032803180914512925,72.3,0.077335715,0.25129807,0.54338205,Manufacturing,INDUSTRIAL ORGANIC CHEMICALS
18,Q,0.3659470218647709,0.03479125248508946,109.05,-0.009896457,0.0046987534,0.5810316,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
19,APP,0.35980855965163067,0.036779324055666,458.67,-0.08656949,0.25008857,0.81231064,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
20,VRT,0.35301863830723895,0.03876739562624255,258.88,0.07072544,0.09458375,0.4972409,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
21,TPL,0.34619950832966834,0.040755467196819085,531.13,0.011618376,0.29103065,0.5339817,Finance_Insurance_RealEstate,OIL ROYALTY TRADERS
22,COIN,0.34093700151019496,0.042743538767395624,195.53,-0.008569121,0.38585305,0.99402076,Finance_Insurance_RealEstate,FINANCE SERVICES
23,DOW,0.3178903447997927,0.04473161033797217,36.62,0.10036063,0.12159252,0.5078184,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
24,FIX,0.30835444316635446,0.04671968190854871,1365.34,0.06745577,0.050245285,0.5652331,Construction,ELECTRICAL WORK
25,FSLR,0.30458861175057833,0.048707753479125246,196.07,0.036255956,-0.11059195,0.62341875,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
26,FCX,0.2939938115285061,0.05069582504970179,56.38,-0.05020213,-0.091231465,0.46325353,Mining,METAL MINING
27,SNDK,0.28963551141672994,0.05268389662027833,661.62,0.25466025,0.049707294,0.88200253,Manufacturing,COMPUTER STORAGE DEVICES
28,BKR,0.2819243686476551,0.05467196819085487,54.26,-0.09279388,-0.11614269,0.3218268,Manufacturing,OIL & GAS FIELD MACHINERY & EQUIPMENT
29,IP,0.2804807891808777,0.05666003976143141,37.25,-0.057677686,-0.24242419,0.42907697,Manufacturing,PAPER MILLS
30,ALB,0.27262745327990096,0.05864811133200795,158.22,-0.025078535,-0.0044673085,0.5955917,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
31,CCL,0.260126731920534,0.06063618290258449,23.99,-0.069794536,-0.2641104,0.53778064,Transportation_Utilities,WATER TRANSPORTATION
32,NOW,0.2565854697722334,0.06262425447316103,113.62,-0.08621514,0.10000968,0.4489004,Services,SERVICES-PREPACKAGED SOFTWARE
33,APO,0.25133814091690937,0.06461232604373758,104.44,-0.03919041,-0.16694582,0.51563144,Finance_Insurance_RealEstate,INVESTMENT ADVICE
34,ON,0.2475985425706569,0.06660039761431412,58.55,0.029541016,-0.17103213,0.40161392,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
35,INTU,0.24732971418635546,0.06858846918489066,439.96,-0.08564544,0.10553825,0.5500265,Services,SERVICES-PREPACKAGED SOFTWARE
36,EXPE,0.24618333798663025,0.0705765407554672,228.37,-0.08512938,0.0049726963,0.7731641,Transportation_Utilities,TRANSPORTATION SERVICES
37,APA,0.2401676855016746,0.07256461232604373,34.47,0.05477357,0.28046072,0.41821274,Mining,CRUDE PETROLEUM & NATURAL GAS
38,AMAT,0.23385215822931663,0.07455268389662027,341.53,0.051702976,0.040013313,0.57898086,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
39,PLTR,0.23253436001084085,0.07654075546719682,150.95,-0.039513886,0.1689769,0.3767351,Services,SERVICES-PREPACKAGED SOFTWARE
40,DASH,0.2272838491858818,0.07852882703777336,161.36,-0.099402785,0.001365304,0.5190938,Services,"SERVICES-BUSINESS SERVICES, NEC"
41,NEM,0.22491161255747197,0.0805168986083499,109.58,-0.057700574,-0.07229936,0.48017904,Mining,GOLD AND SILVER ORES
42,EL,0.22153253153409583,0.08250497017892644,87.88,-0.0522002,-0.17421538,0.530279,Manufacturing,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
43,FICO,0.20829280161701041,0.08449304174950298,1131.22,-0.23359078,-0.1543166,0.7235718,Services,"SERVICES-BUSINESS SERVICES, NEC"
44,CVNA,0.20670490828987376,0.08648111332007952,300.15,-0.05524087,-0.12782592,0.60526305,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
45,VTRS,0.20655557193196078,0.08846918489065607,13.51,-0.04590392,-0.14439517,0.35749212,Manufacturing,PHARMACEUTICAL PREPARATIONS
46,CSGP,0.20307325685538824,0.09045725646123261,43.63,-0.09818107,-0.03109032,0.551959,Services,"SERVICES-BUSINESS SERVICES, NEC"
