rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,SNDK,0.4408277974025299,0.000998003992015968,176.49,0.19217789,0.554978,1.1600055,Manufacturing,COMPUTER STORAGE DEVICES
2,AMD,0.42060098654394606,0.0029940119760479044,259.67,0.07943976,0.6092589,1.0634385,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
3,MU,0.41391464388824684,0.00499001996007984,220.1,0.06446779,0.34289205,0.6036855,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
4,APP,0.39237224152344513,0.006986027944111776,643.1,0.13633955,-0.09722614,0.76306874,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
5,CNC,0.3757918592930949,0.008982035928143712,33.15,-0.069081664,-0.058506012,0.4009261,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
6,CIEN,0.35974747386027384,0.010978043912175649,182.54,0.05441308,0.26658344,0.4431273,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
7,STX,0.33461969165131394,0.012974051896207584,230.32,0.0742538,0.005149722,0.61063594,Manufacturing,COMPUTER STORAGE DEVICES
8,NEM,0.31274328990056577,0.014970059880239521,78.63,-0.17135632,-0.069907784,0.66216487,Mining,GOLD AND SILVER ORES
9,LITE,0.3076141124186383,0.016966067864271458,193.8,0.20372677,0.19202852,0.6711424,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
10,ALB,0.27937452425635056,0.018962075848303395,96.23,0.00093615055,0.10761976,0.79786754,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
11,PSKY,0.27230364830994574,0.020958083832335328,16.565,-0.025014699,-0.15051281,0.32430243,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
12,SMCI,0.27097319171618683,0.022954091816367265,51.57,-0.063045084,0.11238134,0.77388513,Manufacturing,ELECTRONIC COMPUTERS
13,HOOD,0.24946471078852586,0.0249500998003992,145.86,0.07407951,0.06685197,0.6254554,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
14,WDC,0.24075681872041177,0.02694610778443114,126.67,0.042294025,0.085060835,0.6104609,Manufacturing,COMPUTER STORAGE DEVICES
15,COHR,0.23686895396221475,0.028942115768463075,134.99,0.12304497,0.25025475,0.65483826,Manufacturing,OPTICAL INSTRUMENTS & LENSES
16,WBD,0.21881546622041398,0.03093812375249501,21.04,0.14847171,0.11529291,0.5202073,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
