rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,COHR,0.5384178882993129,0.00099601593625498,139.33,-0.09824604,0.1975075,0.9694497,Manufacturing,OPTICAL INSTRUMENTS & LENSES
2,STX,0.5352263050945397,0.00298804780876494,258.21,-0.075675726,0.14556348,0.96488255,Manufacturing,COMPUTER STORAGE DEVICES
3,CIEN,0.5218305941643594,0.0049800796812749,191.71,-0.037890136,0.1214391,0.53487325,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
4,SNDK,0.5151939865112289,0.0069721115537848604,254.16,0.061299562,0.81335616,1.299311,Manufacturing,COMPUTER STORAGE DEVICES
5,TER,0.49929178560236603,0.008964143426294821,169.97,-0.06753343,0.23024023,0.87147933,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
6,LITE,0.4859963071380504,0.010956175298804782,232.15,-0.033151507,0.40893364,1.157251,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
7,SMCI,0.4757812584680783,0.012948207171314742,36.42,-0.084004045,-0.30203146,0.76185745,Manufacturing,ELECTRONIC COMPUTERS
8,WDC,0.4683299132182417,0.014940239043824702,157.83,-0.03145039,0.25063396,0.76508164,Manufacturing,COMPUTER STORAGE DEVICES
9,MU,0.43150977443087435,0.01693227091633466,246.83,0.0374496,0.21963632,0.634744,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
10,HOOD,0.38506802598280554,0.018924302788844622,122.5,-0.06029457,-0.0570395,0.7882898,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
11,VRT,0.36430982898462,0.02091633466135458,170.97,-0.049110115,-0.017413795,0.6147073,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
12,RCL,0.35679391789294074,0.022908366533864542,252.87,-0.012265205,-0.15797013,0.5121278,Transportation_Utilities,WATER TRANSPORTATION
13,LRCX,0.34226637977589325,0.0249003984063745,148.26,-0.06959528,0.04769981,0.51835024,Manufacturing,"SPECIAL INDUSTRY MACHINERY, NEC"
14,DELL,0.34166185152693623,0.026892430278884463,133.76,-0.088207245,-0.10582262,0.34114924,Manufacturing,ELECTRONIC COMPUTERS
15,FIX,0.3397201166476965,0.02888446215139442,909.6,-0.047798514,0.09865689,0.8438184,Construction,ELECTRICAL WORK
16,DDOG,0.33959027013120924,0.030876494023904383,185.01,-0.03257692,0.21024406,0.8884867,Services,SERVICES-PREPACKAGED SOFTWARE
17,SNPS,0.3348468885212422,0.03286852589641434,389.83,-0.009150326,-0.12914401,0.3368965,Services,SERVICES-PREPACKAGED SOFTWARE
18,ALB,0.32627508263917804,0.0348605577689243,115.14,0.18481171,0.24153554,0.7664764,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
19,INTC,0.28228085123915236,0.036852589641434265,35.52,-0.06845003,-0.04025936,0.48413983,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
