rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,COHR,0.20517553160489344,0.00099601593625498,191.87,0.095148444,0.26388252,0.58435297,Manufacturing,OPTICAL INSTRUMENTS & LENSES
2,SNDK,0.19891730586634962,0.00298804780876494,244.9,0.17003489,0.0790447,0.9297386,Manufacturing,COMPUTER STORAGE DEVICES
3,CVNA,0.19803902035705093,0.0049800796812749,437.35,-0.03917128,0.32169843,0.59161603,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
4,HOOD,0.18391763022157054,0.0069721115537848604,120.24,0.007035136,0.045838,0.69001454,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
5,CIEN,0.18391763022157054,0.008964143426294821,240.29,0.1451106,0.23415506,0.7051375,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
6,STX,0.17757794135566918,0.010956175298804782,282.8,-0.01849866,0.11611009,0.5512381,Manufacturing,COMPUTER STORAGE DEVICES
7,MU,0.17667684481228685,0.012948207171314742,276.27,0.18820691,0.23373377,0.63982195,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
8,NCLH,0.1743193778295098,0.014940239043824702,23.11,0.07288766,0.3019719,0.45085922,Transportation_Utilities,WATER TRANSPORTATION
9,DLTR,0.15843497861076844,0.01693227091633466,119.53,-0.088600814,0.19231915,0.4513795,Retail,RETAIL-VARIETY STORES
10,RCL,0.15355832599307037,0.018924302788844622,292.29,0.03829348,0.14367878,0.42604077,Transportation_Utilities,WATER TRANSPORTATION
11,SATS,0.14909476683379771,0.02091633466135458,106.76,0.03010428,0.5053582,0.63544416,Transportation_Utilities,"COMMUNICATIONS SERVICES, NEC"
12,APP,0.14295866377406188,0.022908366533864542,728.45,0.075520515,0.30126834,0.50572217,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
13,SMCI,0.12364867323388877,0.0249003984063745,30.76,-0.028427005,-0.076830745,0.44271955,Manufacturing,ELECTRONIC COMPUTERS
14,MRNA,0.12349831812685971,0.026892430278884463,32.29,0.08029449,0.3370601,0.6327137,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
15,COIN,0.11525765811605458,0.02888446215139442,242.3,-0.040813923,-0.05340469,0.46487385,Finance_Insurance_RealEstate,FINANCE SERVICES
16,DDOG,0.11077657047937407,0.030876494023904383,141.23,0.008425474,-0.1086216,0.21726888,Services,SERVICES-PREPACKAGED SOFTWARE
17,CMG,0.08870564553305,0.03286852589641434,37.79,0.05973077,0.21160626,0.326762,Retail,RETAIL-EATING PLACES
18,LUV,0.08768687404348634,0.0348605577689243,41.56,-0.014465213,0.24879813,0.31448042,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
19,ORCL,0.06957596262814741,0.036852589641434265,195.34,0.0354625,-0.024665475,0.6173154,Services,SERVICES-PREPACKAGED SOFTWARE
20,ALB,0.0610641536850398,0.03884462151394422,146.7,0.119249225,0.26596475,0.47294495,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
21,LITE,0.053823368275756095,0.04083665338645418,387.41,0.22539937,0.29412758,0.8477612,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
22,GNRC,0.04551535030286674,0.04282868525896414,139.87,-0.09970397,-0.033579767,0.47398773,Manufacturing,MOTORS & GENERATORS
23,AXON,0.04533693849179904,0.044820717131474105,591.02,0.06478584,0.12661088,0.32134303,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
24,CCL,0.03744759667072276,0.046812749003984064,31.66,0.12269497,0.27867532,0.4695179,Transportation_Utilities,WATER TRANSPORTATION
25,NFLX,0.03364167421006728,0.04880478087649402,93.5,-0.011314392,-0.12592316,0.3182359,Services,SERVICES-VIDEO TAPE RENTAL
26,HPQ,0.028108196981377415,0.05079681274900399,22.93,-0.076520324,-0.059474945,0.2940847,Manufacturing,COMPUTER & OFFICE EQUIPMENT
27,PSKY,0.02230773032092982,0.052788844621513946,13.53,-0.023104727,-0.10159367,0.66371644,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
28,WDC,0.016663974490793744,0.054780876494023904,178.25,0.021051168,0.18101108,0.55532527,Manufacturing,COMPUTER STORAGE DEVICES
29,WBD,0.01629946794004411,0.05677290836653386,29.15,0.008650541,0.27515304,0.40608114,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
30,TER,0.005446804047481744,0.05876494023904383,198.5,0.03229499,0.19599926,0.44404995,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
31,Q,0.001186322686484216,0.060756972111553786,83.17,0.059490442,0.13094914,0.5038551,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
32,EPAM,-0.0016356808138560794,0.06274900398406374,208.0,0.010444522,0.13518536,0.2369974,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
33,FCX,-0.007535147677533756,0.0647410358565737,51.9,0.09171224,0.2723707,0.25395492,Mining,METAL MINING
34,AMD,-0.009756391917136904,0.06673306772908366,214.9,0.027393937,-0.00069755316,0.43370506,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
35,DG,-0.010349184800827502,0.06872509960159362,134.25,-0.001932919,0.32018876,0.6246375,Retail,RETAIL-VARIETY STORES
36,DECK,-0.012629257407106118,0.07071713147410359,100.68,-0.03378117,0.21111512,0.29982364,Manufacturing,RUBBER & PLASTICS FOOTWEAR
37,DELL,-0.014836433436427597,0.07270916334661355,127.62,-0.04583174,0.003144145,0.46427837,Manufacturing,ELECTRONIC COMPUTERS
38,LLY,-0.01676573083486097,0.07470119521912351,1071.64,0.016456604,0.001382947,0.28108323,Manufacturing,PHARMACEUTICAL PREPARATIONS
39,VRT,-0.026622618707017126,0.07669322709163347,166.26,0.0348562,-0.015688896,0.5745955,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
40,JBHT,-0.0299211894341133,0.07868525896414343,197.03,0.0013722181,0.1822983,0.25391406,Transportation_Utilities,TRUCKING (NO LOCAL)
41,ARE,-0.03560296877685739,0.08067729083665338,48.07,0.023419142,-0.061499417,0.48204246,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
42,MCHP,-0.04337891332748045,0.08266932270916334,65.35,-0.008346021,0.27512193,0.5260386,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
43,GM,-0.04678211570756138,0.0846613545816733,82.75,0.012108564,0.16549301,0.21486151,Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES
44,MOS,-0.04707986517579143,0.08665338645418327,24.29,0.03537941,0.02923727,0.43922728,Manufacturing,AGRICULTURAL CHEMICALS
45,TTD,-0.047909411363552326,0.08864541832669323,37.44,0.021834016,-0.0414747,0.28613484,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
46,IRM,-0.048154301691221695,0.09063745019920319,80.8,-0.0024691224,-0.046382606,0.3126363,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
