rank,instrument,score,pct_rank,close,ret_5d,ret_20d,ann_vol_20d,sector,sic_description
1,STX,0.5304036774310025,0.00099601593625498,283.26,0.027160406,0.2911843,0.9120888,Manufacturing,COMPUTER STORAGE DEVICES
2,WDC,0.5263536263420261,0.00298804780876494,166.11,0.037539005,0.37919295,0.7316577,Manufacturing,COMPUTER STORAGE DEVICES
3,COHR,0.5206109911643219,0.0049800796812749,156.67,0.16370785,0.4189837,0.868735,Manufacturing,OPTICAL INSTRUMENTS & LENSES
4,SNDK,0.5148580530590899,0.0069721115537848604,283.1,0.30762124,0.961885,1.1607894,Manufacturing,COMPUTER STORAGE DEVICES
5,LITE,0.5104475371199451,0.008964143426294821,253.81,0.09048331,0.62106395,1.0592455,Manufacturing,"COMMUNICATIONS EQUIPMENT, NEC"
6,MU,0.4989982861348357,0.010956175298804782,244.9,0.031157851,0.27591956,0.62599343,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
7,DXCM,0.4847644442254892,0.012948207171314742,59.61,0.0055668354,-0.088671505,0.6709307,Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
8,AMD,0.4803063401645112,0.014940239043824702,258.89,0.009987235,0.08503771,0.63113356,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
9,SMCI,0.3739580061219695,0.01693227091633466,37.91,-0.0980252,-0.29718202,0.70786387,Manufacturing,ELECTRONIC COMPUTERS
10,DDOG,0.3285141943530739,0.018924302788844622,190.89,0.23170733,0.1929133,0.9092577,Services,SERVICES-PREPACKAGED SOFTWARE
11,VRT,0.3226623812414265,0.02091633466135458,173.37,-0.09092343,-0.039554596,0.5630787,Manufacturing,"ELECTRONIC COMPONENTS, NEC"
12,ORCL,0.3198181965254713,0.022908366533864542,226.99,-0.093164444,-0.25238782,0.4546179,Services,SERVICES-PREPACKAGED SOFTWARE
13,WBD,0.31191771506260035,0.0249003984063745,22.19,-0.025043905,0.20271003,0.46236756,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
14,HOOD,0.30950103510881066,0.026892430278884463,132.98,-0.06667602,-0.00872159,0.7271298,Finance_Insurance_RealEstate,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES"
15,APP,0.3031467271368513,0.02888446215139442,584.86,-0.052167594,-0.028955698,0.56826365,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
16,RCL,0.28776259859041503,0.030876494023904383,263.43,0.026497245,-0.1533938,0.522615,Transportation_Utilities,WATER TRANSPORTATION
17,CIEN,0.28607876371049207,0.03286852589641434,209.52,0.07001686,0.24189436,0.43650997,Manufacturing,TELEPHONE & TELEGRAPH APPARATUS
18,TTD,0.24625941763115408,0.0348605577689243,43.79,-0.08197063,-0.14305282,0.47733304,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
19,COIN,0.24427366636838985,0.036852589641434265,304.0,-0.047917306,-0.09604514,0.72251505,Finance_Insurance_RealEstate,FINANCE SERVICES
20,CMG,0.22999082639555418,0.03884462151394422,31.32,-0.020331562,-0.2501796,0.7040649,Retail,RETAIL-EATING PLACES
21,PSKY,0.2265330687377938,0.04083665338645418,15.57,0.03180909,-0.10671258,0.5242845,Transportation_Utilities,TELEVISION BROADCASTING STATIONS
22,FSLR,0.21403267078291066,0.04282868525896414,267.52,-0.035581768,0.09459901,0.6726548,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
23,ALB,0.2091583879845696,0.044820717131474105,110.32,0.19965208,0.12387931,0.7834285,Manufacturing,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS"
24,TER,0.20629725267500407,0.046812749003984064,179.27,-0.044351995,0.27114797,0.844105,Manufacturing,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS
25,CVNA,0.19945733384066508,0.04880478087649402,328.19,0.05977142,-0.076613605,0.8705756,Retail,RETAIL-AUTO DEALERS & GASOLINE STATIONS
26,BLDR,0.189569597410081,0.05079681274900399,106.42,-0.046073854,-0.1573363,0.33630618,Retail,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS
27,NCLH,0.1777800461915905,0.052788844621513946,18.94,0.017732382,-0.19677693,0.6238997,Transportation_Utilities,WATER TRANSPORTATION
28,SNPS,0.17580542486992407,0.054780876494023904,398.81,-0.025176585,-0.08508831,0.34989366,Services,SERVICES-PREPACKAGED SOFTWARE
29,LLY,0.17516344067485504,0.05677290836653386,1017.78,0.09934008,0.23132944,0.3023811,Manufacturing,PHARMACEUTICAL PREPARATIONS
30,DECK,0.17306651479157978,0.05876494023904383,84.39,0.03153646,-0.1249482,0.688798,Manufacturing,RUBBER & PLASTICS FOOTWEAR
31,GNRC,0.15875087893288614,0.060756972111553786,162.42,0.02035439,-0.15260607,0.496363,Manufacturing,MOTORS & GENERATORS
32,DELL,0.13778515116212445,0.06274900398406374,140.71,-0.07676661,-0.084515214,0.30509105,Manufacturing,ELECTRONIC COMPUTERS
33,EXPE,0.1291484950069447,0.0647410358565737,273.65,0.27987468,0.25280416,0.7102791,Transportation_Utilities,TRANSPORTATION SERVICES
34,LRCX,0.11927323089247373,0.06673306772908366,161.42,-0.021993339,0.114933014,0.46608064,Manufacturing,"SPECIAL INDUSTRY MACHINERY, NEC"
35,CHTR,0.1095316289956836,0.06872509960159362,213.07,-0.05365306,-0.19462502,0.35692692,Transportation_Utilities,CABLE & OTHER PAY TELEVISION SERVICES
36,BAX,0.10179169094567077,0.07071713147410359,18.7,0.041782737,-0.17802197,0.56693304,Manufacturing,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS
37,DASH,0.08169052209324362,0.07270916334661355,196.51,-0.17432773,-0.27915335,0.69597596,Services,"SERVICES-BUSINESS SERVICES, NEC"
38,HAL,0.0711909942466733,0.07470119521912351,26.93,-0.006273091,0.20276916,0.52431375,Mining,"OIL & GAS FIELD SERVICES, NEC"
39,SATS,0.06504776656223014,0.07669322709163347,69.63,-0.0371958,-0.06973952,0.32658857,Transportation_Utilities,"COMMUNICATIONS SERVICES, NEC"
40,HUM,0.060874714989525854,0.07868525896414343,240.48,-0.09232283,-0.08273262,0.45997527,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
41,KVUE,0.05512032874214919,0.08067729083665338,16.67,0.027110338,0.025215268,0.7649974,Manufacturing,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS"
42,AXON,0.029829879147805143,0.08266932270916334,569.51,-0.1094867,-0.11702502,0.5539366,Manufacturing,"ORDNANCE & ACCESSORIES, (NO VEHICLES/GUIDED MISSILES)"
43,INTC,0.027358486431161795,0.0846613545816733,37.89,-0.012767136,0.019919157,0.4443449,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
44,NEM,0.017539892043476703,0.08665338645418327,93.07,0.14014459,-0.005449891,0.68912625,Mining,GOLD AND SILVER ORES
45,CSGP,0.013040503008004332,0.08864541832669323,69.02,-0.020159066,-0.08205885,0.42285308,Services,"SERVICES-BUSINESS SERVICES, NEC"
46,AMAT,0.0035659007252206326,0.09063745019920319,230.73,-0.042176962,0.013841271,0.36927405,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
47,MOS,0.003526197059110831,0.09262948207171315,25.46,-0.0289855,-0.14535087,0.28320995,Manufacturing,AGRICULTURAL CHEMICALS
48,MRNA,9.060547618698926e-05,0.0946215139442231,26.71,0.1337012,-0.036435783,0.7738736,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
49,ARE,-0.002303076535505446,0.09661354581673307,53.78,-0.012667596,-0.29431832,0.7917561,Finance_Insurance_RealEstate,REAL ESTATE INVESTMENT TRUSTS
50,CAH,-0.004317735508111749,0.09860557768924302,204.32,0.038264155,0.31252015,0.55538934,Wholesale,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES"
51,META,-0.006443712234126325,0.10059760956175298,609.01,-0.042361796,-0.15126467,0.46247354,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
52,FFIV,-0.008560532370011554,0.10258964143426295,240.17,-0.02564001,-0.27386242,0.49611276,Manufacturing,COMPUTER COMMUNICATIONS EQUIPMENT
53,FDS,-0.016731148353520277,0.10458167330677291,271.88,0.041127324,-0.04250753,0.38628665,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
54,IP,-0.01861917128202638,0.10657370517928287,38.17,0.050936103,-0.18683428,0.5733336,Manufacturing,PAPER MILLS
55,GOOGL,-0.021957152369402787,0.10856573705179283,286.71,0.008441448,0.14213443,0.3026529,Services,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC."
56,AKAM,-0.022347750876960955,0.11055776892430279,90.1,0.23458469,0.22302163,0.6062591,Services,"SERVICES-BUSINESS SERVICES, NEC"
57,FIX,-0.02587254019778258,0.11254980079681275,973.18,-0.014780641,0.16254735,0.7873944,Construction,ELECTRICAL WORK
58,ZTS,-0.02806125444716975,0.1145418326693227,121.25,0.006307602,-0.14684772,0.5168689,Manufacturing,PHARMACEUTICAL PREPARATIONS
59,LVS,-0.0353909644534723,0.11653386454183266,66.65,0.065717936,0.3593719,0.48032236,Services,HOTELS & MOTELS
60,PLTR,-0.043505471100143446,0.11852589641434264,184.17,-0.01985097,0.025331259,0.62468535,Services,SERVICES-PREPACKAGED SOFTWARE
61,ELV,-0.043593444259505426,0.1205179282868526,327.63,0.030023932,-0.06254822,0.33218172,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
62,SW,-0.04595626528720835,0.12250996015936255,35.38,-0.018585265,-0.15277773,0.4905804,Manufacturing,PAPERBOARD CONTAINERS & BOXES
63,ISRG,-0.05023802171329836,0.12450199203187251,572.45,0.043569446,0.31413424,0.54196095,Manufacturing,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES"
64,TECH,-0.051813058271069315,0.12649402390438247,61.4,0.024357796,0.030547142,0.3565441,Manufacturing,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)"
65,CNC,-0.058746118872652436,0.12848605577689243,36.2,-0.01737243,0.011455655,0.6932266,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
66,EPAM,-0.06403528602937475,0.13047808764940239,180.12,0.119383454,0.25984466,0.3809731,Services,SERVICES-COMPUTER PROGRAMMING SERVICES
67,CI,-0.06870582234739712,0.13247011952191234,270.61,0.042491674,-0.081339,0.74387884,Finance_Insurance_RealEstate,HOSPITAL & MEDICAL SERVICE PLANS
68,TSLA,-0.06936034336785939,0.1344621513944223,430.6,-0.06810659,-0.010456145,0.4949036,Manufacturing,MOTOR VEHICLES & PASSENGER CAR BODIES
69,KMB,-0.07703326833582906,0.13645418326693226,104.12,0.040679693,-0.13175446,0.57409644,Manufacturing,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES)
70,HSY,-0.0837608667760175,0.13844621513944222,178.26,0.049328923,-0.069624305,0.31922877,Manufacturing,SUGAR & CONFECTIONERY PRODUCTS
71,POOL,-0.09561538029497973,0.14043824701195218,250.54,-0.009840727,-0.1373778,0.2826356,Wholesale,WHOLESALE-MISC DURABLE GOODS
72,MPWR,-0.09587887264358654,0.14243027888446216,958.35,-0.041793764,-0.049189925,0.526711,Manufacturing,SEMICONDUCTORS & RELATED DEVICES
73,INCY,-0.1010463729322988,0.14442231075697212,108.26,0.024219513,0.22813392,0.36051887,Services,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH
74,LUV,-0.1181999915807017,0.14641434262948208,33.34,0.054395914,-0.006555438,0.46144086,Transportation_Utilities,"AIR TRANSPORTATION, SCHEDULED"
