symbol,sic_code,sic_description,industry,sector
GNRC,3621,MOTORS & GENERATORS,stocks,Manufacturing
GOOG,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",stocks,Services
GOOGL,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",stocks,Services
GPC,5013,WHOLESALE-MOTOR VEHICLE SUPPLIES & NEW PARTS,stocks,Wholesale
GPN,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
GRMN,3812,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS",stocks,Manufacturing
GS,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",stocks,Finance_Insurance_RealEstate
GWW,5000,WHOLESALE-DURABLE GOODS,stocks,Wholesale
HAL,1389,"OIL & GAS FIELD SERVICES, NEC",stocks,Mining
HAS,3944,"GAMES, TOYS & CHILDREN'S VEHICLES (NO DOLLS & BICYCLES)",stocks,Manufacturing
HBAN,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
HCA,8062,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",stocks,Services
HD,5211,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,stocks,Retail
HIG,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
HII,3730,SHIP & BOAT BUILDING & REPAIRING,stocks,Manufacturing
HLT,7011,HOTELS & MOTELS,stocks,Services
HON,3724,AIRCRAFT ENGINES & ENGINE PARTS,stocks,Manufacturing
HOOD,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",stocks,Finance_Insurance_RealEstate
HPE,3570,COMPUTER & OFFICE EQUIPMENT,stocks,Manufacturing
HPQ,3570,COMPUTER & OFFICE EQUIPMENT,stocks,Manufacturing
HRL,2011,MEAT PACKING PLANTS,stocks,Manufacturing
HSIC,5047,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES",stocks,Wholesale
HST,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
HSY,2060,SUGAR & CONFECTIONERY PRODUCTS,stocks,Manufacturing
HUBB,3670,ELECTRONIC COMPONENTS & ACCESSORIES,stocks,Manufacturing
HUM,6324,HOSPITAL & MEDICAL SERVICE PLANS,stocks,Finance_Insurance_RealEstate
HWM,3350,ROLLING DRAWING & EXTRUDING OF NONFERROUS METALS,stocks,Manufacturing
IBKR,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",stocks,Finance_Insurance_RealEstate
IBM,3570,COMPUTER & OFFICE EQUIPMENT,stocks,Manufacturing
ICE,6200,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",stocks,Finance_Insurance_RealEstate
IDXX,2835,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,stocks,Manufacturing
IEX,3561,PUMPS & PUMPING EQUIPMENT,stocks,Manufacturing
IFF,2860,INDUSTRIAL ORGANIC CHEMICALS,stocks,Manufacturing
INCY,8731,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,stocks,Services
INTC,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
INTU,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
INVH,6510,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,stocks,Finance_Insurance_RealEstate
IP,2621,PAPER MILLS,stocks,Manufacturing
IQV,8731,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,stocks,Services
IR,3560,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,stocks,Manufacturing
IRM,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
ISRG,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",stocks,Manufacturing
IT,8741,SERVICES-MANAGEMENT SERVICES,stocks,Services
ITW,3560,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,stocks,Manufacturing
IVZ,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
J,1600,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS,stocks,Construction
JBHT,4213,TRUCKING (NO LOCAL),stocks,Transportation_Utilities
JBL,3672,PRINTED CIRCUIT BOARDS,stocks,Manufacturing
JCI,3585,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,stocks,Manufacturing
JKHY,7373,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,stocks,Services
JNJ,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
JPM,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
KDP,2080,BEVERAGES,stocks,Manufacturing
KEY,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
KEYS,3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",stocks,Manufacturing
KHC,2030,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES",stocks,Manufacturing
KIM,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
KKR,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
KLAC,3827,OPTICAL INSTRUMENTS & LENSES,stocks,Manufacturing
KMB,2670,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),stocks,Manufacturing
KMI,4922,NATURAL GAS TRANSMISSION,stocks,Transportation_Utilities
KO,2080,BEVERAGES,stocks,Manufacturing
KR,5411,RETAIL-GROCERY STORES,stocks,Retail
KVUE,2844,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",stocks,Manufacturing
L,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
LDOS,7373,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,stocks,Services
LEN,1520,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS,stocks,Construction
LH,8071,SERVICES-MEDICAL LABORATORIES,stocks,Services
LHX,3812,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS",stocks,Manufacturing
LII,3585,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,stocks,Manufacturing
LIN,2810,INDUSTRIAL INORGANIC CHEMICALS,stocks,Manufacturing
LITE,3669,"COMMUNICATIONS EQUIPMENT, NEC",stocks,Manufacturing
LLY,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
LMT,3760,GUIDED MISSILES & SPACE VEHICLES & PARTS,stocks,Manufacturing
LNT,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
LOW,5211,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,stocks,Retail
LRCX,3559,"SPECIAL INDUSTRY MACHINERY, NEC",stocks,Manufacturing
LULU,2300,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,stocks,Manufacturing
LUV,4512,"AIR TRANSPORTATION, SCHEDULED",stocks,Transportation_Utilities
LVS,7011,HOTELS & MOTELS,stocks,Services
LYB,2860,INDUSTRIAL ORGANIC CHEMICALS,stocks,Manufacturing
LYV,7900,SERVICES-AMUSEMENT & RECREATION SERVICES,stocks,Services
MA,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
MAA,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
MAR,7011,HOTELS & MOTELS,stocks,Services
MAS,3430,"HEATING EQUIP, EXCEPT ELEC & WARM AIR; & PLUMBING FIXTURES",stocks,Manufacturing
MCD,5812,RETAIL-EATING PLACES,stocks,Retail
MCHP,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
MCK,5122,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",stocks,Wholesale
MCO,7320,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",stocks,Services
MDLZ,2000,FOOD AND KINDRED PRODUCTS,stocks,Manufacturing
MDT,3845,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,stocks,Manufacturing
MET,6311,LIFE INSURANCE,stocks,Finance_Insurance_RealEstate
META,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",stocks,Services
MGM,7011,HOTELS & MOTELS,stocks,Services
MKC,2090,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,stocks,Manufacturing
MLM,1400,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS),stocks,Mining
MMM,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
MNST,2086,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,stocks,Manufacturing
MO,2111,CIGARETTES,stocks,Manufacturing
MOS,2870,AGRICULTURAL CHEMICALS,stocks,Manufacturing
MPC,2911,PETROLEUM REFINING,stocks,Manufacturing
MPWR,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
MRK,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
MRNA,2836,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",stocks,Manufacturing
MRSH,6411,"INSURANCE AGENTS, BROKERS & SERVICE",stocks,Finance_Insurance_RealEstate
MS,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",stocks,Finance_Insurance_RealEstate
MSCI,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
MSFT,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
MSI,3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,stocks,Manufacturing
MTB,6022,STATE COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
MTD,3826,LABORATORY ANALYTICAL INSTRUMENTS,stocks,Manufacturing
MU,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
NCLH,4400,WATER TRANSPORTATION,stocks,Transportation_Utilities
NDAQ,6200,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",stocks,Finance_Insurance_RealEstate
NDSN,3569,"GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC",stocks,Manufacturing
NEE,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
NEM,1040,GOLD AND SILVER ORES,stocks,Mining
NFLX,7841,SERVICES-VIDEO TAPE RENTAL,stocks,Services
NI,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
NKE,3021,RUBBER & PLASTICS FOOTWEAR,stocks,Manufacturing
NOC,3812,"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL SYS",stocks,Manufacturing
NOW,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
NRG,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
NSC,4011,"RAILROADS, LINE-HAUL OPERATING",stocks,Transportation_Utilities
NTAP,3572,COMPUTER STORAGE DEVICES,stocks,Manufacturing
NTRS,6022,STATE COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
NUE,3312,"STEEL WORKS, BLAST FURNACES & ROLLING MILLS (COKE OVENS)",stocks,Manufacturing
NVDA,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
NVR,1531,OPERATIVE BUILDERS,stocks,Construction
NWS,2711,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,stocks,Manufacturing
NWSA,2711,NEWSPAPERS: PUBLISHING OR PUBLISHING & PRINTING,stocks,Manufacturing
NXPI,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
O,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
ODFL,4213,TRUCKING (NO LOCAL),stocks,Transportation_Utilities
OKE,4923,NATURAL GAS TRANSMISSION & DISTRIBUTION,stocks,Transportation_Utilities
OMC,7311,SERVICES-ADVERTISING AGENCIES,stocks,Services
ON,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
ORCL,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
ORLY,5531,RETAIL-AUTO & HOME SUPPLY STORES,stocks,Retail
OTIS,3600,ELECTRONIC & OTHER ELECTRICAL EQUIPMENT (NO COMPUTER EQUIP),stocks,Manufacturing
OXY,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
PANW,3577,"COMPUTER PERIPHERAL EQUIPMENT, NEC",stocks,Manufacturing
PAYX,8700,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",stocks,Services
PCAR,3711,MOTOR VEHICLES & PASSENGER CAR BODIES,stocks,Manufacturing
PCG,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
PEG,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
PEP,2080,BEVERAGES,stocks,Manufacturing
PFE,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
PFG,6321,ACCIDENT & HEALTH INSURANCE,stocks,Finance_Insurance_RealEstate
PG,2840,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",stocks,Manufacturing
PGR,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
PH,3490,MISCELLANEOUS FABRICATED METAL PRODUCTS,stocks,Manufacturing
PHM,1531,OPERATIVE BUILDERS,stocks,Construction
PKG,2650,PAPERBOARD CONTAINERS & BOXES,stocks,Manufacturing
PLD,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
PLTR,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
PM,2111,CIGARETTES,stocks,Manufacturing
PNC,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
PNR,3550,SPECIAL INDUSTRY MACHINERY (NO METALWORKING MACHINERY),stocks,Manufacturing
PNW,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
PODD,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
POOL,5090,WHOLESALE-MISC DURABLE GOODS,stocks,Wholesale
PPG,2851,"PAINTS, VARNISHES, LACQUERS, ENAMELS & ALLIED PRODS",stocks,Manufacturing
PPL,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
PRU,6311,LIFE INSURANCE,stocks,Finance_Insurance_RealEstate
PSA,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
PSKY,4833,TELEVISION BROADCASTING STATIONS,stocks,Transportation_Utilities
PSX,2911,PETROLEUM REFINING,stocks,Manufacturing
PTC,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
PWR,1731,ELECTRICAL WORK,stocks,Construction
PYPL,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
Q,3674,SEMICONDUCTORS & RELATED DEVICES,stocks,Manufacturing
QCOM,3663,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,stocks,Manufacturing
RCL,4400,WATER TRANSPORTATION,stocks,Transportation_Utilities
REG,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
REGN,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
RF,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
RJF,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",stocks,Finance_Insurance_RealEstate
RL,2320,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",stocks,Manufacturing
RMD,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
ROK,3829,"MEASURING & CONTROLLING DEVICES, NEC",stocks,Manufacturing
ROL,7340,SERVICES-TO DWELLINGS & OTHER BUILDINGS,stocks,Services
ROP,3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",stocks,Manufacturing
ROST,5651,RETAIL-FAMILY CLOTHING STORES,stocks,Retail
RSG,4953,REFUSE SYSTEMS,stocks,Transportation_Utilities
RTX,3724,AIRCRAFT ENGINES & ENGINE PARTS,stocks,Manufacturing
RVTY,3826,LABORATORY ANALYTICAL INSTRUMENTS,stocks,Manufacturing
SATS,4899,"COMMUNICATIONS SERVICES, NEC",stocks,Transportation_Utilities
