symbol,sic_code,sic_description,industry,sector
VRTX,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
VST,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
VTR,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
VTRS,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
VZ,4813,TELEPHONE COMMUNICATIONS (NO RADIOTELEPHONE),stocks,Transportation_Utilities
WAB,3743,RAILROAD EQUIPMENT,stocks,Manufacturing
WAT,3826,LABORATORY ANALYTICAL INSTRUMENTS,stocks,Manufacturing
WBD,4841,CABLE & OTHER PAY TELEVISION SERVICES,stocks,Transportation_Utilities
WDAY,7374,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,stocks,Services
WDC,3572,COMPUTER STORAGE DEVICES,stocks,Manufacturing
WEC,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
WELL,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
WFC,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
WM,4953,REFUSE SYSTEMS,stocks,Transportation_Utilities
WMB,4922,NATURAL GAS TRANSMISSION,stocks,Transportation_Utilities
WMT,5331,RETAIL-VARIETY STORES,stocks,Retail
WRB,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
WSM,5700,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES",stocks,Retail
WST,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
WTW,6411,"INSURANCE AGENTS, BROKERS & SERVICE",stocks,Finance_Insurance_RealEstate
WY,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
WYNN,7011,HOTELS & MOTELS,stocks,Services
XEL,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
XOM,2911,PETROLEUM REFINING,stocks,Manufacturing
XYL,3561,PUMPS & PUMPING EQUIPMENT,stocks,Manufacturing
XYZ,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
YUM,5812,RETAIL-EATING PLACES,stocks,Retail
ZBH,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",stocks,Manufacturing
ZBRA,3560,GENERAL INDUSTRIAL MACHINERY & EQUIPMENT,stocks,Manufacturing
ZTS,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
